Year,Month,State,Data Status,Category,Revenue,MW,Customers,Price
2009,12,AK,Final,Residential,36139,222134,270456,16.27
2009,12,AK,Final,Commercial,36037,256270,47334,14.06
2009,12,AK,Final,Industrial,15509,115603,1240,13.42
2009,12,AK,Final,Transportation,0,0,0,0
2009,12,AK,Final,Other,,,,
2009,12,AL,Final,Residential,276749,2818685,2132487,9.82
2009,12,AL,Final,Commercial,166408,1679995,351480,9.91
2009,12,AL,Final,Industrial,160103,2466120,9181,6.49
2009,12,AL,Final,Transportation,0,0,0,0
2009,12,AL,Final,Other,,,,
2009,12,AR,Final,Residential,125142,1448385,1317936,8.64
2009,12,AR,Final,Commercial,67431,889269,178058,7.58
2009,12,AR,Final,Industrial,75706,1283489,29718,5.9
2009,12,AR,Final,Transportation,4,39,2,10.26
2009,12,AR,Final,Other,,,,
2009,12,AZ,Final,Residential,221494,2284523,2563532,9.7
2009,12,AZ,Final,Commercial,185595,2156813,299584,8.61
2009,12,AZ,Final,Industrial,55106,900056,7085,6.12
2009,12,AZ,Final,Transportation,0,0,0,0
2009,12,AZ,Final,Other,,,,
2009,12,CA,Final,Residential,1187506,8064319,13352574,14.73
2009,12,CA,Final,Commercial,1134995,10031863,1858683,11.31
2009,12,CA,Final,Industrial,351202,3778341,74638,9.3
2009,12,CA,Final,Transportation,5614,68156,495,8.24
2009,12,CA,Final,Other,,,,
2009,12,CO,Final,Residential,171793,1684839,2118365,10.2
2009,12,CO,Final,Commercial,136343,1662573,349140,8.2
2009,12,CO,Final,Industrial,68611,1118226,14691,6.14
2009,12,CO,Final,Transportation,381,4381,1,8.7
2009,12,CO,Final,Other,,,,
2009,12,CT,Final,Residential,229590,1152773,1451134,19.92
2009,12,CT,Final,Commercial,179110,1083852,153814,16.53
2009,12,CT,Final,Industrial,41184,287827,4934,14.31
2009,12,CT,Final,Transportation,2050,18156,2,11.29
2009,12,CT,Final,Other,,,,
2009,12,DC,Final,Residential,23288,173326,226030,13.44
2009,12,DC,Final,Commercial,100769,765246,26430,13.17
2009,12,DC,Final,Industrial,1677,21994,1,7.62
2009,12,DC,Final,Transportation,3217,26424,1,12.17
2009,12,DC,Final,Other,,,,
2009,12,DE,Final,Residential,49701,359938,394429,13.81
2009,12,DE,Final,Commercial,39100,336657,49197,11.61
2009,12,DE,Final,Industrial,19250,202711,1233,9.5
2009,12,DE,Final,Transportation,0,0,0,0
2009,12,DE,Final,Other,,,,
2009,12,FL,Final,Residential,1039860,8508127,8491760,12.22
2009,12,FL,Final,Commercial,786176,7396251,1122985,10.63
2009,12,FL,Final,Industrial,126747,1392416,19306,9.1
2009,12,FL,Final,Transportation,728,6821,25,10.67
2009,12,FL,Final,Other,,,,
2009,12,GA,Final,Residential,437685,4790265,4067579,9.14
2009,12,GA,Final,Commercial,326886,3646997,546339,8.96
2009,12,GA,Final,Industrial,147712,2378324,15331,6.21
2009,12,GA,Final,Transportation,1021,14331,1,7.12
2009,12,GA,Final,Other,,,,
2009,12,HI,Final,Residential,66752,254198,414256,26.26
2009,12,HI,Final,Commercial,66521,276598,60628,24.05
2009,12,HI,Final,Industrial,61793,306977,700,20.13
2009,12,HI,Final,Transportation,0,0,0,0
2009,12,HI,Final,Other,,,,
2009,12,IA,Final,Residential,132518,1416153,1328589,9.36
2009,12,IA,Final,Commercial,76669,1087015,216616,7.05
2009,12,IA,Final,Industrial,75375,1553202,6098,4.85
2009,12,IA,Final,Transportation,0,0,0,0
2009,12,IA,Final,Other,,,,
2009,12,ID,Final,Residential,84372,994893,662583,8.48
2009,12,ID,Final,Commercial,36036,552295,100659,6.52
2009,12,ID,Final,Industrial,26518,561553,25965,4.72
2009,12,ID,Final,Transportation,0,0,0,0
2009,12,ID,Final,Other,,,,
2009,12,IL,Final,Residential,431722,4191564,5071085,10.3
2009,12,IL,Final,Commercial,374733,4455733,577570,8.41
2009,12,IL,Final,Industrial,235877,3550258,5839,6.64
2009,12,IL,Final,Transportation,3705,46876,4,7.9
2009,12,IL,Final,Other,,,,
2009,12,IN,Final,Residential,290160,3319328,2745206,8.74
2009,12,IN,Final,Commercial,161011,2002875,341658,8.04
2009,12,IN,Final,Industrial,206788,3677493,18086,5.62
2009,12,IN,Final,Transportation,174,2018,1,8.62
2009,12,IN,Final,Other,,,,
2009,12,KS,Final,Residential,108921,1241472,1210978,8.77
2009,12,KS,Final,Commercial,90453,1242083,218822,7.28
2009,12,KS,Final,Industrial,48292,824945,22714,5.85
2009,12,KS,Final,Transportation,0,0,0,0
2009,12,KS,Final,Other,,,,
2009,12,KY,Final,Residential,213098,2654234,1933432,8.03
2009,12,KY,Final,Commercial,114239,1579164,296380,7.23
2009,12,KY,Final,Industrial,189780,4077276,7157,4.65
2009,12,KY,Final,Transportation,0,0,0,0
2009,12,KY,Final,Other,,,,
2009,12,LA,Final,Residential,169120,2225408,1953390,7.6
