Year,Month,State,Data Status,Category,Revenue,MW,Customers,Price
2022,5,AK,Preliminary,Residential,35968.42,149658.22,295508,24.03
2022,5,AK,Preliminary,Commercial,41643.07,202008.05,56974,20.61
2022,5,AK,Preliminary,Industrial,22925.76,116159.45,1155,19.74
2022,5,AK,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,AK,Preliminary,Other,,,,
2022,5,AL,Preliminary,Residential,361004.25,2527886.2,2331408,14.28
2022,5,AL,Preliminary,Commercial,250902.35,1916100.4,379060,13.09
2022,5,AL,Preliminary,Industrial,213133.56,2773516.0,7960,7.68
2022,5,AL,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,AL,Preliminary,Other,,,,
2022,5,AR,Preliminary,Residential,152970.23,1255254.8,1443772,12.19
2022,5,AR,Preliminary,Commercial,96414.87,924570.59,203932,10.43
2022,5,AR,Preliminary,Industrial,115748.48,1570762.3,31924,7.37
2022,5,AR,Preliminary,Transportation,2.08,13.64,2,15.25
2022,5,AR,Preliminary,Other,,,,
2022,5,AZ,Preliminary,Residential,429138.35,3247991.0,2971966,13.21
2022,5,AZ,Preliminary,Commercial,294431.62,2680080.2,334999,10.99
2022,5,AZ,Preliminary,Industrial,92652.63,1202712.9,7256,7.7
2022,5,AZ,Preliminary,Transportation,75.41,734.07,2,10.27
2022,5,AZ,Preliminary,Other,,,,
2022,5,CA,Preliminary,Residential,1581230.7,5852798.3,12849402,27.02
2022,5,CA,Preliminary,Commercial,1726190.3,8735512.5,1763559,19.76
2022,5,CA,Preliminary,Industrial,628479.41,3846150.8,148858,16.34
2022,5,CA,Preliminary,Transportation,5518.93,51716.94,12,10.67
2022,5,CA,Preliminary,Other,,,,
2022,5,CO,Preliminary,Residential,204733.98,1481538.6,2423776,13.82
2022,5,CO,Preliminary,Commercial,184800.16,1657873.8,390549,11.15
2022,5,CO,Preliminary,Industrial,104685.53,1246090.9,14765,8.4
2022,5,CO,Preliminary,Transportation,651.82,7366.98,1,8.85
2022,5,CO,Preliminary,Other,,,,
2022,5,CT,Preliminary,Residential,229045.43,923262.09,1538211,24.81
2022,5,CT,Preliminary,Commercial,168422.75,938672.5,155921,17.94
2022,5,CT,Preliminary,Industrial,34931.15,244245.05,3986,14.3
2022,5,CT,Preliminary,Transportation,1720.13,12611.24,3,13.64
2022,5,CT,Preliminary,Other,,,,
2022,5,DC,Preliminary,Residential,25229.51,170955.5,305926,14.76
2022,5,DC,Preliminary,Commercial,91842.63,597841.91,27114,15.36
2022,5,DC,Preliminary,Industrial,1135.69,15952.36,1,7.12
2022,5,DC,Preliminary,Transportation,1821.44,17367.4,3,10.49
2022,5,DC,Preliminary,Other,,,,
2022,5,DE,Preliminary,Residential,48511.02,339316.79,455995,14.3
2022,5,DE,Preliminary,Commercial,37146.37,345313.29,58945,10.76
2022,5,DE,Preliminary,Industrial,13271.57,158208.95,818,8.39
2022,5,DE,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,DE,Preliminary,Other,,,,
2022,5,FL,Preliminary,Residential,1585124.0,11675428.0,10431730,13.58
2022,5,FL,Preliminary,Commercial,965805.68,8819932.8,1334782,10.95
2022,5,FL,Preliminary,Industrial,160321.3,1747288.8,25254,9.18
2022,5,FL,Preliminary,Transportation,685.35,7003.29,2,9.79
2022,5,FL,Preliminary,Other,,,,
2022,5,GA,Preliminary,Residential,690392.45,4795834.5,4628366,14.4
2022,5,GA,Preliminary,Commercial,512094.2,4027289.4,603876,12.72
2022,5,GA,Preliminary,Industrial,264607.85,2922979.0,24575,9.05
2022,5,GA,Preliminary,Transportation,1087.51,11766.27,1,9.24
2022,5,GA,Preliminary,Other,,,,
2022,5,HI,Preliminary,Residential,98026.31,227411.38,449235,43.11
2022,5,HI,Preliminary,Commercial,95634.03,236779.84,60095,40.39
2022,5,HI,Preliminary,Industrial,104025.76,287343.34,822,36.2
2022,5,HI,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,HI,Preliminary,Other,,,,
2022,5,IA,Preliminary,Residential,149521.52,1061972.9,1434486,14.08
2022,5,IA,Preliminary,Commercial,106196.67,968554.56,248370,10.96
2022,5,IA,Preliminary,Industrial,161249.48,2304635.3,8553,7.0
2022,5,IA,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,IA,Preliminary,Other,,,,
2022,5,ID,Preliminary,Residential,64707.01,628846.42,821151,10.29
2022,5,ID,Preliminary,Commercial,41001.43,511174.03,118984,8.02
2022,5,ID,Preliminary,Industrial,53270.71,862096.92,29237,6.18
2022,5,ID,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,ID,Preliminary,Other,,,,
2022,5,IL,Preliminary,Residential,545331.19,3572719.3,5361739,15.26
2022,5,IL,Preliminary,Commercial,452809.9,3767937.0,635341,12.02
2022,5,IL,Preliminary,Industrial,317113.84,3391557.3,5618,9.35
2022,5,IL,Preliminary,Transportation,2525.69,35257.75,3,7.16
2022,5,IL,Preliminary,Other,,,,
2022,5,IN,Preliminary,Residential,360427.89,2376875.2,2945682,15.16
2022,5,IN,Preliminary,Commercial,239439.04,1855676.1,372670,12.9
2022,5,IN,Preliminary,Industrial,323452.6,3727324.0,19038,8.68
2022,5,IN,Preliminary,Transportation,120.24,906.5,1,13.26
2022,5,IN,Preliminary,Other,,,,
2022,5,KS,Preliminary,Residential,149369.6,1057670.5,1311277,14.12
2022,5,KS,Preliminary,Commercial,146689.34,1285731.0,247356,11.41
2022,5,KS,Preliminary,Industrial,81565.24,998108.3,24823,8.17
2022,5,KS,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,KS,Preliminary,Other,,,,
2022,5,KY,Preliminary,Residential,239284.29,1868377.3,2013576,12.81
2022,5,KY,Preliminary,Commercial,178648.56,1503997.5,319796,11.88
2022,5,KY,Preliminary,Industrial,197807.87,2620753.8,5909,7.55
2022,5,KY,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,KY,Preliminary,Other,,,,
2022,5,LA,Preliminary,Residential,289227.39,2415334.9,2141389,11.97
2022,5,LA,Preliminary,Commercial,208942.01,1941953.6,300454,10.76
2022,5,LA,Preliminary,Industrial,224465.55,3476351.4,20511,6.46
2022,5,LA,Preliminary,Transportation,103.71,878.6,1,11.8
2022,5,LA,Preliminary,Other,,,,
2022,5,MA,Preliminary,Residential,337957.58,1416726.0,2870621,23.85
2022,5,MA,Preliminary,Commercial,322524.59,1882566.3,437318,17.13
2022,5,MA,Preliminary,Industrial,93248.51,545005.59,10698,17.11
2022,5,MA,Preliminary,Transportation,1796.27,24593.15,2,7.3
2022,5,MA,Preliminary,Other,,,,
2022,5,MD,Preliminary,Residential,266296.58,1873741.6,2428684,14.21
2022,5,MD,Preliminary,Commercial,267654.78,2264428.2,260432,11.82
2022,5,MD,Preliminary,Industrial,30578.85,309841.27,9002,9.87
2022,5,MD,Preliminary,Transportation,2446.44,29470.39,5,8.3
2022,5,MD,Preliminary,Other,,,,
2022,5,ME,Preliminary,Residential,90898.79,352941.97,740960,25.75
2022,5,ME,Preliminary,Commercial,53421.25,316559.42,108711,16.88
2022,5,ME,Preliminary,Industrial,21542.74,169352.85,2231,12.72
2022,5,ME,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,ME,Preliminary,Other,,,,
2022,5,MI,Preliminary,Residential,461362.33,2587636.2,4480966,17.83
2022,5,MI,Preliminary,Commercial,378889.6,2999213.7,554977,12.63
2022,5,MI,Preliminary,Industrial,204299.03,2342465.1,5749,8.72
2022,5,MI,Preliminary,Transportation,38.33,301.33,2,12.72
2022,5,MI,Preliminary,Other,,,,
2022,5,MN,Preliminary,Residential,240102.63,1661847.1,2529511,14.45
2022,5,MN,Preliminary,Commercial,217276.48,1785929.5,307279,12.17
2022,5,MN,Preliminary,Industrial,154535.39,1678697.3,9256,9.21
2022,5,MN,Preliminary,Transportation,181.17,1558.69,1,11.62
2022,5,MN,Preliminary,Other,,,,
2022,5,MO,Preliminary,Residential,299189.23,2504255.9,2845999,11.95
2022,5,MO,Preliminary,Commercial,215575.69,2354866.6,397456,9.15
2022,5,MO,Preliminary,Industrial,89553.94,1172757.2,9834,7.64
2022,5,MO,Preliminary,Transportation,134.02,1831.46,2,7.32
2022,5,MO,Preliminary,Other,,,,
2022,5,MS,Preliminary,Residential,179924.92,1372134.0,1339921,13.11
2022,5,MS,Preliminary,Commercial,138411.57,1136668.3,242022,12.18
2022,5,MS,Preliminary,Industrial,96036.04,1405681.5,11293,6.83
2022,5,MS,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,MS,Preliminary,Other,,,,
2022,5,MT,Preliminary,Residential,46667.71,416595.18,538808,11.2
2022,5,MT,Preliminary,Commercial,40374.35,386355.89,114316,10.45
2022,5,MT,Preliminary,Industrial,22454.67,352017.65,12079,6.38
2022,5,MT,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,MT,Preliminary,Other,,,,
2022,5,NC,Preliminary,Residential,566537.82,4666146.7,4851764,12.14
